iter	Passed	Remaining
0	71	21373
1	83	12384
2	93	9230
3	104	7724
4	115	6799
5	125	6160
6	134	5642
7	145	5297
8	155	5023
9	169	4915
10	178	4689
11	186	4479
12	194	4303
13	203	4159
14	213	4050
15	221	3923
16	228	3808
17	237	3722
18	246	3638
19	254	3561
20	262	3489
21	272	3448
22	281	3385
23	303	3491
24	316	3479
25	324	3423
26	334	3381
27	343	3333
28	351	3285
29	361	3257
30	372	3235
31	381	3194
32	393	3185
33	409	3202
34	423	3208
35	437	3209
36	455	3236
37	467	3225
38	481	3222
39	496	3225
40	518	3273
41	537	3299
42	551	3293
43	562	3274
44	578	3280
45	589	3256
46	599	3226
47	607	3189
48	617	3163
49	625	3129
50	634	3095
51	642	3063
52	650	3030
53	659	3005
54	669	2980
55	682	2975
56	696	2968
57	704	2940
58	714	2917
59	722	2891
60	732	2870
61	740	2842
62	748	2816
63	757	2793
64	765	2767
65	774	2744
66	782	2722
67	790	2697
68	801	2683
69	810	2662
70	819	2643
71	827	2621
72	836	2600
73	846	2584
74	858	2574
75	866	2552
76	875	2536
77	884	2517
78	892	2497
79	900	2477
80	909	2457
81	917	2439
82	925	2420
83	935	2406
84	946	2393
85	955	2376
86	966	2365
87	976	2353
88	985	2336
89	995	2321
90	1005	2308
91	1017	2301
92	1028	2288
93	1042	2284
94	1050	2267
95	1058	2249
96	1067	2233
97	1077	2221
98	1085	2204
99	1093	2187
100	1101	2170
101	1109	2153
102	1118	2138
103	1135	2140
104	1146	2129
105	1156	2116
106	1164	2100
107	1171	2083
108	1179	2066
109	1187	2051
110	1194	2034
111	1205	2022
112	1212	2006
113	1220	1991
114	1229	1977
115	1237	1962
116	1245	1947
117	1253	1932
118	1261	1918
119	1268	1902
120	1276	1888
121	1284	1874
122	1292	1860
123	1300	1846
124	1309	1832
125	1317	1819
126	1326	1806
127	1335	1794
128	1345	1783
129	1356	1774
130	1368	1765
131	1379	1756
132	1394	1751
133	1402	1737
134	1411	1725
135	1419	1711
136	1428	1699
137	1436	1686
138	1446	1674
139	1454	1661
140	1466	1653
141	1474	1640
142	1482	1627
143	1490	1614
144	1498	1602
145	1506	1589
146	1514	1576
147	1523	1564
148	1531	1551
149	1539	1539
150	1548	1527
151	1556	1515
152	1564	1503
153	1572	1490
154	1580	1478
155	1588	1466
156	1597	1455
157	1605	1443
158	1614	1432
159	1623	1420
160	1632	1409
161	1641	1398
162	1649	1386
163	1657	1374
164	1666	1363
165	1674	1351
166	1683	1340
167	1692	1329
168	1701	1319
169	1710	1307
170	1718	1296
171	1728	1286
172	1737	1275
173	1745	1263
174	1752	1252
175	1761	1240
176	1769	1229
177	1778	1219
178	1788	1209
179	1798	1198
180	1805	1187
181	1814	1176
182	1822	1165
183	1830	1153
184	1839	1143
185	1847	1132
186	1858	1122
187	1867	1112
188	1875	1101
189	1883	1090
190	1891	1079
191	1899	1068
192	1910	1059
193	1919	1048
194	1932	1040
195	1945	1032
196	1955	1022
197	1963	1011
198	1971	1000
199	1979	989
200	1989	979
201	1997	969
202	2005	958
203	2013	947
204	2021	936
205	2029	926
206	2038	915
207	2047	905
208	2055	894
209	2063	884
210	2071	873
211	2079	863
212	2087	852
213	2096	842
214	2104	832
215	2113	822
216	2123	812
217	2131	801
218	2140	791
219	2148	781
220	2156	771
221	2165	760
222	2174	750
223	2182	740
224	2190	730
225	2198	719
226	2207	709
227	2215	699
228	2223	689
229	2232	679
230	2240	669
231	2250	659
232	2260	649
233	2269	640
234	2278	630
235	2286	620
236	2294	609
237	2301	599
238	2310	589
239	2319	579
240	2327	569
241	2336	560
242	2344	549
243	2353	540
244	2362	530
245	2370	520
246	2380	510
247	2388	500
248	2397	490
249	2404	480
250	2413	471
251	2421	461
252	2429	451
253	2439	441
254	2448	432
255	2455	422
256	2463	412
257	2472	402
258	2480	392
259	2489	382
260	2497	373
261	2505	363
262	2515	353
263	2523	344
264	2531	334
265	2539	324
266	2547	314
267	2556	305
268	2564	295
269	2573	285
270	2581	276
271	2589	266
272	2597	256
273	2606	247
274	2614	237
275	2622	228
276	2629	218
277	2638	208
278	2648	199
279	2657	189
280	2665	180
281	2674	170
282	2682	161
283	2690	151
284	2700	142
285	2708	132
286	2718	123
287	2727	113
288	2734	104
289	2743	94
290	2751	85
291	2760	75
292	2768	66
293	2778	56
294	2786	47
295	2795	37
296	2803	28
297	2811	18
298	2819	9
299	2827	0
