iter	RMSE
0	1226.963513
1	1148.308328
2	1075.951991
3	1008.643052
4	945.8406165
5	887.6740072
6	836.3135987
7	786.262998
8	742.5620782
9	701.758461
10	662.8936942
11	628.2527422
12	596.6011664
13	567.4094494
14	539.4092529
15	515.108677
16	491.9795364
17	471.6643973
18	453.048532
19	436.398359
20	421.1772512
21	408.314592
22	395.37308
23	383.3299452
24	373.5096506
25	364.7231324
26	357.6940273
27	350.1972794
28	344.5976108
29	338.0188657
30	332.586131
31	327.5163511
32	323.3090248
33	319.1902558
34	315.9482231
35	313.2157688
36	309.8932069
37	306.4738061
38	303.9577003
39	302.0180387
40	300.1682399
41	298.7541831
42	296.9040071
43	294.8265103
44	293.2057588
45	291.9915531
46	290.7266038
47	288.9801022
48	287.1764226
49	286.085867
50	284.5646667
51	283.0099923
52	281.8941419
53	281.209933
54	280.3850036
55	279.6185426
56	277.7458799
57	275.9292462
58	275.0689157
59	273.8582717
60	272.5526968
61	271.6019833
62	269.5256417
63	268.1211592
64	266.9866751
65	265.1508795
66	263.6268175
67	262.3030085
68	261.1473432
69	259.9936153
70	258.2276352
71	257.7160553
72	256.8500935
73	256.2351855
74	254.8508184
75	253.8548769
76	253.2574694
77	252.7984747
78	252.1073768
79	251.7236062
80	251.4672209
81	250.7803448
82	250.2906204
83	249.7715258
84	248.6148112
85	247.6772655
86	247.0841537
87	246.314964
88	245.561634
89	245.1052638
90	244.4931922
91	243.5732687
92	243.0172095
93	241.6823219
94	240.7743445
95	240.3429629
96	239.1033927
97	238.4224625
98	238.0880798
99	237.6446511
100	236.8312329
101	236.1860983
102	235.8895733
103	234.5656446
104	234.3738321
105	234.2403253
106	233.379495
107	232.9393421
108	232.3593923
109	231.7345053
110	231.0443098
111	230.4803933
112	230.0116292
113	229.5177283
114	228.7047763
115	228.3992069
116	227.8505209
117	227.1442987
118	226.9123862
119	226.5935579
120	225.9634777
121	225.5132802
122	225.103925
123	224.2084963
124	223.6357341
125	223.4778692
126	222.847801
127	222.585426
128	222.3697583
129	221.8986305
130	221.6415084
131	221.3245139
132	221.1216324
133	220.5162467
134	220.2105648
135	219.5272941
136	219.2625609
137	218.9962268
138	218.5761452
139	218.3954393
140	217.9619654
141	217.6922806
142	217.4379916
143	217.1880873
144	216.6273269
145	215.8914074
146	215.1659395
147	214.7604749
148	214.3669732
149	214.1089685
150	213.8515055
151	213.0184682
152	212.636767
153	212.0483137
154	211.7481416
155	211.3258161
156	211.0612017
157	210.7358933
158	210.452866
159	210.1966465
160	209.6126915
161	209.4001819
162	209.1412603
163	208.8447985
164	208.6387591
165	208.0898959
166	207.6882544
167	207.5321982
168	207.37783
169	206.8731492
170	206.3445821
171	206.0616078
172	205.9625377
173	205.6788804
174	205.4272062
175	205.139981
176	204.8585344
177	204.5547404
178	203.7303548
179	203.0288469
180	202.7965173
181	202.3378067
182	202.0463993
183	201.7909278
184	201.4262695
185	201.2463708
186	201.0022388
187	200.5999933
188	200.3903043
189	200.2191993
190	199.9451311
191	199.8356813
192	199.6120412
193	199.4480717
194	199.1329137
195	198.6562577
196	198.499676
197	198.2430676
198	198.0162225
199	197.6367041
200	197.0274049
201	196.7467797
202	196.537147
203	196.0253383
204	195.6063725
205	195.4079252
206	195.0616463
207	194.8943559
208	194.6043548
209	194.3889916
210	194.174042
211	193.8730317
212	193.7006085
213	193.6141796
214	193.4484176
215	193.2089752
216	193.0819314
217	192.8050069
218	192.4891761
219	192.2868721
220	191.9223774
221	191.700926
222	191.5528483
223	191.4290606
224	191.1706395
225	191.0327122
226	190.8427799
227	190.6572368
228	190.5334979
229	190.3390687
230	190.1652078
231	189.8039622
232	189.4972874
233	189.3519644
234	189.0638094
235	188.8971545
236	188.6455147
237	188.5451016
238	188.3517234
239	188.17503
240	187.9616364
241	187.6272507
242	187.3684369
243	187.2958148
244	187.1666139
245	186.8484311
246	186.6506913
247	186.5175281
248	186.3961091
249	186.0739709
250	185.8050225
251	185.5786636
252	185.4104255
253	185.2600924
254	185.1096541
255	184.9834336
256	184.9533444
257	184.7203066
258	184.5168757
259	184.2953584
260	184.1464916
261	183.9571483
262	183.4976606
263	183.2370586
264	183.0517087
265	182.8663278
266	182.8224488
267	182.5267438
268	182.3752952
269	182.2737582
270	182.0629716
271	181.9190909
272	181.5235265
273	181.3600134
274	181.2540708
275	181.0271435
276	180.7067903
277	180.6366934
278	180.525461
279	180.4606838
280	180.3474571
281	180.1458918
282	179.9861264
283	179.7738789
284	179.6760598
285	179.5433168
286	179.3785039
287	179.1654099
288	178.8669742
289	178.6687763
290	178.5709018
291	178.4209059
292	178.3311862
293	178.2625535
294	178.0728115
295	177.8741964
296	177.740972
297	177.6066866
298	177.5310705
299	177.3841657
300	177.1502521
301	176.8713934
302	176.700813
303	176.5819225
304	176.447294
305	176.3531007
306	176.1686682
307	176.0775648
308	175.9546101
309	175.7882831
310	175.6420445
311	175.5031915
312	175.3404793
313	175.2399601
314	175.0503787
315	174.9259022
316	174.8233819
317	174.6692594
318	174.5336187
319	174.4534554
320	174.264377
321	174.1639248
322	174.0483495
323	173.8937998
324	173.8328495
325	173.6687159
326	173.5283914
327	173.4564354
328	173.3682697
329	173.2886939
330	173.1944511
331	173.0523698
332	172.9740384
333	172.7613947
334	172.6625021
335	172.4664709
336	172.4007633
337	172.2858972
338	172.0419149
339	171.9922078
340	171.8488267
341	171.8007355
342	171.735332
343	171.5963654
344	171.4992023
345	171.4211383
346	171.2646696
347	171.131823
348	171.0438453
349	170.95842
350	170.8584971
351	170.7592318
352	170.6360889
353	170.5549181
354	170.5220774
355	170.4176526
356	170.3278349
357	170.1124647
358	169.9297423
359	169.8698557
360	169.7921946
361	169.5701716
362	169.4135123
363	169.3043524
364	169.2233271
365	169.0764633
366	168.9809128
367	168.9251862
368	168.8353486
369	168.7131155
370	168.6233832
371	168.3823221
372	168.3077084
373	168.2730601
374	168.1990346
375	168.1431433
376	168.0920041
377	167.9248881
378	167.7963755
379	167.7431469
380	167.6412668
381	167.4814347
382	167.4125218
383	167.2863272
384	167.2284762
385	167.1436478
386	167.1112819
387	167.0321865
388	166.8059398
389	166.7239663
390	166.6258804
391	166.505571
392	166.3965563
393	166.2377884
394	166.1501601
395	166.0224452
396	165.9269673
397	165.8045611
398	165.6911927
399	165.6363343
400	165.5514058
401	165.4402388
402	165.3616567
403	165.3307492
404	165.2666093
405	165.094938
406	164.9452271
407	164.773448
408	164.6421382
409	164.5359595
410	164.2493083
411	164.228641
412	164.1993251
413	163.9554141
414	163.8896312
415	163.859002
416	163.7573846
417	163.5946635
418	163.4640601
419	163.3421817
420	163.2653204
421	163.1259507
422	163.058688
423	163.0115063
424	162.9028457
425	162.8093325
426	162.7335397
427	162.5447982
428	162.4838244
429	162.400978
430	162.3118822
431	162.1803905
432	162.087167
433	162.0188555
434	161.8947534
435	161.8159602
436	161.6821103
437	161.542353
438	161.4266172
439	161.3809479
440	161.3334993
441	161.2663872
442	161.1034774
443	160.9729869
444	160.8185172
445	160.760739
446	160.6536812
447	160.4548653
448	160.3938792
449	160.3688124
450	160.2826349
451	160.2045822
452	160.1444448
453	160.1208788
454	160.0621892
455	160.0150356
456	159.7753279
457	159.723474
458	159.6591078
459	159.5656229
460	159.4948326
461	159.3957941
462	159.2606342
463	159.1825443
464	159.0049381
465	158.914566
466	158.8923281
