iter	Passed	Remaining
0	94	94346
1	105	52764
2	112	37506
3	117	29218
4	121	24134
5	126	20886
6	129	18351
7	132	16408
8	134	14839
9	137	13584
10	139	12538
11	143	11841
12	146	11100
13	148	10455
14	150	9892
15	152	9399
16	155	8984
17	157	8595
18	159	8245
19	161	7935
20	164	7655
21	167	7455
22	170	7221
23	172	7004
24	174	6802
25	176	6615
26	179	6452
27	181	6302
28	183	6151
29	185	6011
30	188	5881
31	190	5760
32	194	5690
33	198	5628
34	200	5536
35	203	5439
36	206	5372
37	209	5293
38	211	5210
39	213	5130
40	216	5052
41	219	5011
42	222	4944
43	224	4876
44	226	4811
45	228	4748
46	232	4707
47	234	4652
48	236	4598
49	239	4545
50	241	4497
51	246	4489
52	249	4459
53	253	4445
54	256	4400
55	258	4360
56	261	4318
57	263	4277
58	265	4236
59	269	4214
60	271	4180
61	275	4170
62	280	4167
63	283	4146
64	288	4144
65	290	4116
66	293	4083
67	296	4070
68	299	4038
69	301	4010
70	304	3979
71	306	3948
72	309	3927
73	311	3901
74	314	3873
75	316	3847
76	318	3818
77	320	3793
78	324	3785
79	327	3761
80	329	3738
81	332	3717
82	334	3695
83	337	3674
84	339	3652
85	341	3629
86	343	3607
87	346	3589
88	349	3580
89	351	3558
90	354	3539
91	356	3519
92	358	3500
93	364	3512
94	367	3503
95	370	3485
96	373	3474
97	375	3457
98	377	3439
99	380	3423
100	382	3406
101	385	3394
102	388	3379
103	390	3364
104	392	3348
105	395	3332
106	398	3322
107	400	3310
108	403	3295
109	405	3283
110	408	3268
111	412	3267
112	414	3253
113	416	3239
114	419	3225
115	421	3210
116	424	3204
117	427	3191
118	429	3180
119	431	3165
120	435	3167
121	439	3162
122	442	3151
123	444	3139
124	446	3127
125	449	3117
126	451	3106
127	454	3095
128	456	3083
129	459	3073
130	462	3070
131	465	3058
132	467	3046
133	469	3035
134	472	3025
135	476	3024
136	478	3015
137	482	3012
138	485	3005
139	489	3006
140	491	2997
141	494	2987
142	496	2977
143	499	2967
144	502	2962
145	505	2954
146	507	2945
147	510	2937
148	513	2934
149	516	2924
150	520	2925
151	522	2916
152	525	2907
153	528	2902
154	530	2893
155	532	2883
156	535	2874
157	537	2864
158	540	2858
159	544	2859
160	549	2863
161	553	2864
162	558	2867
163	563	2870
164	565	2861
165	568	2857
166	571	2848
167	573	2839
168	575	2831
169	578	2822
170	580	2813
171	582	2806
172	585	2797
173	587	2788
174	589	2780
175	592	2771
176	594	2764
177	598	2762
178	600	2755
179	603	2748
180	606	2742
181	610	2744
182	613	2737
183	615	2729
184	617	2721
185	620	2714
186	622	2706
187	624	2698
188	626	2690
189	630	2688
190	633	2681
191	635	2674
192	637	2666
193	639	2658
194	643	2655
195	646	2651
196	648	2644
197	651	2637
198	653	2630
199	656	2624
200	659	2622
201	661	2614
202	664	2607
203	666	2601
204	669	2597
205	672	2590
206	674	2584
207	676	2577
208	679	2570
209	682	2567
210	687	2569
211	689	2563
212	692	2556
213	694	2551
214	698	2550
215	700	2543
216	703	2537
217	705	2530
218	708	2525
219	711	2521
220	713	2515
221	716	2509
222	718	2502
223	721	2500
224	724	2495
225	726	2488
226	728	2482
227	731	2475
228	733	2471
229	736	2465
230	738	2459
231	740	2452
232	743	2446
233	747	2447
234	750	2442
235	752	2436
236	755	2430
237	757	2424
238	761	2424
239	764	2419
240	767	2417
241	771	2417
242	775	2416
243	778	2412
244	781	2408
245	787	2413
246	789	2408
247	792	2403
248	796	2401
249	800	2401
250	803	2397
251	807	2397
252	810	2394
253	815	2395
254	821	2400
255	826	2402
256	832	2407
257	836	2406
258	839	2402
259	844	2403
260	847	2399
261	851	2398
262	854	2395
263	857	2391
264	862	2391
265	865	2389
266	869	2385
267	871	2380
268	874	2375
269	876	2370
270	879	2365
271	882	2362
272	885	2357
273	887	2351
274	889	2345
275	892	2340
276	894	2335
277	897	2329
278	899	2324
279	901	2318
280	904	2313
281	907	2309
282	909	2303
283	911	2298
284	913	2292
285	916	2286
286	919	2284
287	921	2278
288	924	2273
289	926	2267
290	928	2262
291	933	2262
292	937	2261
293	939	2256
294	942	2251
295	945	2249
296	948	2244
297	950	2239
298	952	2233
299	955	2229
300	960	2231
301	963	2226
302	965	2221
303	967	2216
304	971	2214
305	974	2209
306	976	2204
307	978	2199
308	981	2194
309	984	2191
310	987	2186
311	989	2182
312	991	2177
313	994	2171
314	997	2169
315	1000	2164
316	1002	2159
317	1004	2154
318	1006	2149
319	1009	2144
320	1012	2140
321	1014	2135
322	1016	2130
323	1018	2125
324	1021	2120
325	1024	2117
326	1028	2116
327	1030	2112
328	1034	2108
329	1036	2104
330	1038	2099
331	1041	2095
332	1043	2090
333	1046	2087
334	1049	2083
335	1052	2079
336	1055	2076
337	1057	2072
338	1060	2068
339	1063	2063
340	1065	2058
341	1067	2054
342	1069	2049
343	1072	2045
344	1074	2040
345	1077	2035
346	1079	2031
347	1081	2026
348	1084	2023
349	1088	2021
350	1091	2017
351	1093	2012
352	1095	2008
353	1099	2006
354	1103	2004
355	1105	2000
356	1108	1995
357	1111	1992
358	1113	1988
359	1116	1984
360	1118	1980
361	1121	1975
362	1123	1971
363	1127	1969
364	1129	1964
365	1131	1960
366	1133	1955
367	1137	1953
368	1140	1949
369	1142	1945
370	1144	1940
371	1146	1936
372	1150	1934
373	1153	1930
374	1155	1926
375	1158	1922
376	1160	1917
377	1163	1914
378	1165	1910
379	1168	1905
380	1170	1901
381	1172	1897
382	1176	1894
383	1182	1897
384	1185	1894
385	1189	1891
386	1192	1888
387	1197	1888
388	1200	1886
389	1203	1882
390	1205	1878
391	1208	1873
392	1210	1869
393	1214	1867
394	1216	1863
395	1219	1859
396	1221	1856
397	1224	1851
398	1227	1849
399	1230	1845
400	1232	1841
401	1234	1836
402	1237	1833
403	1241	1831
404	1244	1827
405	1246	1824
406	1249	1820
407	1251	1816
408	1255	1814
409	1258	1811
410	1261	1807
411	1264	1804
412	1267	1801
413	1270	1797
414	1272	1793
415	1274	1789
416	1277	1786
417	1280	1783
418	1283	1779
419	1285	1775
420	1287	1771
421	1290	1767
422	1293	1764
423	1295	1760
424	1298	1756
425	1302	1754
426	1306	1752
427	1308	1749
428	1310	1744
429	1313	1741
430	1315	1736
431	1318	1733
432	1320	1729
433	1323	1725
434	1325	1722
435	1328	1718
436	1330	1714
437	1333	1710
438	1335	1706
439	1338	1702
440	1340	1698
441	1344	1697
442	1347	1693
443	1349	1690
444	1352	1686
445	1354	1682
446	1358	1680
447	1360	1676
448	1362	1672
449	1365	1668
450	1367	1664
451	1371	1662
452	1374	1659
453	1376	1655
454	1378	1651
455	1381	1647
456	1384	1644
457	1386	1640
458	1389	1637
459	1392	1634
460	1394	1630
461	1397	1626
462	1399	1622
463	1401	1618
464	1407	1619
465	1410	1616
466	1412	1612
467	1414	1608
468	1416	1604
469	1419	1601
470	1422	1597
471	1425	1594
472	1427	1590
473	1430	1587
474	1433	1583
475	1435	1580
476	1437	1576
477	1440	1572
478	1442	1569
479	1445	1566
480	1448	1562
481	1450	1559
482	1453	1555
483	1455	1551
484	1457	1547
485	1459	1544
486	1462	1540
487	1464	1536
488	1466	1532
489	1470	1530
490	1472	1526
491	1474	1522
492	1477	1519
493	1479	1515
494	1482	1512
495	1484	1508
496	1486	1504
497	1489	1501
498	1491	1497
499	1495	1495
500	1497	1491
501	1499	1487
502	1502	1484
503	1504	1480
504	1508	1478
505	1513	1477
506	1515	1473
507	1517	1470
508	1520	1467
509	1524	1464
510	1527	1461
511	1529	1457
512	1531	1454
513	1535	1452
514	1538	1448
515	1540	1445
516	1543	1441
517	1546	1438
518	1548	1435
519	1550	1431
520	1553	1428
521	1555	1424
522	1558	1421
523	1561	1418
524	1564	1415
525	1566	1411
526	1568	1408
527	1572	1406
528	1576	1403
529	1578	1400
530	1581	1396
531	1583	1393
532	1587	1390
533	1589	1387
534	1592	1384
535	1594	1380
536	1597	1377
537	1612	1384
538	1614	1381
539	1616	1377
540	1619	1374
541	1622	1370
542	1624	1366
543	1626	1363
544	1628	1359
545	1631	1356
546	1633	1352
547	1635	1348
548	1637	1345
549	1641	1342
550	1643	1339
551	1646	1336
552	1649	1332
553	1651	1329
554	1655	1327
555	1658	1324
556	1662	1322
557	1666	1320
558	1670	1317
559	1677	1317
560	1680	1315
561	1683	1312
562	1686	1308
563	1688	1305
564	1693	1303
565	1695	1300
566	1700	1298
567	1702	1294
568	1708	1294
569	1712	1291
570	1716	1289
571	1719	1286
572	1722	1283
573	1724	1279
574	1727	1276
575	1729	1273
576	1732	1270
577	1735	1266
578	1737	1263
579	1739	1259
580	1742	1256
581	1744	1253
582	1747	1249
583	1749	1246
584	1751	1242
585	1754	1239
586	1758	1237
587	1761	1233
588	1764	1230
589	1766	1227
590	1769	1224
591	1772	1221
592	1776	1219
593	1778	1215
594	1781	1212
595	1783	1209
596	1786	1206
597	1788	1202
598	1791	1199
599	1793	1195
600	1796	1192
601	1799	1189
602	1801	1186
603	1803	1182
604	1806	1179
605	1809	1176
606	1811	1172
607	1813	1169
608	1816	1166
609	1818	1162
610	1824	1161
611	1827	1158
612	1831	1156
613	1835	1153
614	1838	1151
615	1841	1147
616	1843	1144
617	1846	1141
618	1849	1138
619	1851	1134
620	1853	1131
621	1856	1128
622	1859	1125
623	1861	1121
624	1865	1119
625	1867	1115
626	1870	1112
627	1874	1110
628	1876	1107
629	1879	1103
630	1881	1100
631	1884	1097
632	1887	1094
633	1889	1090
634	1892	1087
635	1894	1084
636	1896	1080
637	1899	1077
638	1901	1074
639	1903	1070
640	1906	1067
641	1908	1064
642	1911	1061
643	1916	1059
644	1918	1056
645	1921	1052
646	1923	1049
647	1926	1046
648	1928	1043
649	1931	1039
650	1933	1036
651	1935	1033
652	1938	1030
653	1940	1026
654	1943	1023
655	1945	1020
656	1947	1016
657	1950	1013
658	1953	1010
659	1955	1007
660	1958	1004
661	1960	1000
662	1964	998
663	1966	995
664	1968	991
665	1971	988
666	1974	985
667	1976	982
668	1979	979
669	1981	975
670	1983	972
671	1986	969
672	1989	966
673	1991	963
674	1994	960
675	1998	957
676	2000	954
677	2003	951
678	2005	948
679	2007	944
680	2011	942
681	2014	939
682	2016	936
683	2019	932
684	2021	929
685	2023	926
686	2026	923
687	2029	920
688	2031	917
689	2033	913
690	2036	910
691	2039	907
692	2041	904
693	2045	901
694	2048	898
695	2050	895
696	2055	893
697	2057	890
698	2059	886
699	2064	884
700	2067	881
701	2070	878
702	2072	875
703	2074	872
704	2077	869
705	2080	866
706	2086	864
707	2089	861
708	2091	858
709	2094	855
710	2096	852
711	2099	849
712	2101	845
713	2104	842
714	2106	839
715	2109	836
716	2111	833
717	2113	830
718	2116	827
719	2118	823
720	2121	820
721	2123	817
722	2126	814
723	2128	811
724	2130	808
725	2133	805
726	2136	802
727	2138	799
728	2140	795
729	2143	792
730	2146	789
731	2149	786
732	2151	783
733	2153	780
734	2156	777
735	2162	775
736	2164	772
737	2167	769
738	2170	766
739	2172	763
740	2175	760
741	2177	757
742	2179	753
743	2182	750
744	2184	747
745	2188	745
746	2190	741
747	2192	738
748	2199	737
749	2202	734
750	2204	730
751	2206	727
752	2208	724
753	2211	721
754	2214	718
755	2216	715
756	2219	712
757	2221	709
758	2224	706
759	2226	703
760	2228	699
761	2231	696
762	2233	693
763	2236	690
764	2238	687
765	2240	684
766	2243	681
767	2245	678
768	2249	675
769	2253	673
770	2255	670
771	2258	666
772	2262	664
773	2264	661
774	2267	658
775	2269	655
776	2271	652
777	2275	649
778	2277	646
779	2279	643
780	2282	639
781	2284	636
782	2287	633
783	2289	630
784	2292	627
785	2294	624
786	2296	621
787	2300	618
788	2302	615
789	2305	612
790	2308	609
791	2310	606
792	2313	603
793	2315	600
794	2319	598
795	2321	594
796	2324	591
797	2326	588
798	2330	586
799	2332	583
800	2334	580
801	2337	577
802	2340	574
803	2343	571
804	2346	568
805	2348	565
806	2351	562
807	2353	559
808	2356	556
809	2358	553
810	2361	550
811	2364	547
812	2366	544
813	2369	541
814	2371	538
815	2373	535
816	2377	532
817	2380	529
818	2382	526
819	2384	523
820	2387	520
821	2391	517
822	2393	514
823	2395	511
824	2398	508
825	2400	505
826	2405	503
827	2409	500
828	2411	497
829	2413	494
830	2416	491
831	2419	488
832	2421	485
833	2423	482
834	2426	479
835	2429	476
836	2432	473
837	2434	470
838	2436	467
839	2439	464
840	2441	461
841	2444	458
842	2446	455
843	2449	452
844	2451	449
845	2454	446
846	2456	443
847	2458	440
848	2461	437
849	2463	434
850	2465	431
851	2468	428
852	2470	425
853	2472	422
854	2476	419
855	2478	416
856	2480	413
857	2483	410
858	2485	407
859	2489	405
860	2493	402
861	2497	399
862	2501	397
863	2505	394
864	2510	391
865	2516	389
866	2519	386
867	2523	383
